time,x11,x12,x13,x21,x22,x23,x31,x32,x33
14/3/14 09:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 09:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 09:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 10:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 10:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 10:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 10:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 10:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 11:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 11:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 13:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 13:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 13:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 13:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 14:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 14:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 14:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/14 14:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 09:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 09:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 09:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 10:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 10:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 10:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 10:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 10:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 11:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 11:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 13:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 13:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 13:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 13:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 14:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 14:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 14:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/17 14:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 09:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 09:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 09:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 10:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 10:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 10:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 10:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 10:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 11:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 11:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 13:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 13:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 13:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 13:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 14:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 14:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 14:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/18 14:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 09:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 09:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 09:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 10:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 10:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 10:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 10:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 10:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 11:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 11:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 13:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 13:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 13:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 13:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 14:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 14:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 14:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/3/19 14:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
